# Benzene dimer interaction energies
# Calculated in the supermolecule approach, at MP2/6-31G* level
# X      Y     Z    alpha  beta   gamma    E (Kcal/mol)
0.00   3.30   4.30   0.00   0.00   0.00  -1.57451  
0.00   3.30   4.20   0.00   0.00   0.00  -1.60891  
0.00   3.30   3.80   0.00   0.00   0.00  -1.74501  
0.00   3.30   3.60   0.00   0.00   0.00  -1.78822  
0.00   3.30   3.20   0.00   0.00   0.00  -1.84440  
0.00   3.30   2.50   0.00   0.00   0.00  -1.97571  
0.00   3.30   2.00   0.00   0.00   0.00  -2.22337  
0.00   3.30   1.90   0.00   0.00   0.00  -2.26667  
0.00   3.30   1.80   0.00   0.00   0.00  -2.29382  
0.00   3.30   1.70   0.00   0.00   0.00  -2.30106  
0.00   3.30   1.60   0.00   0.00   0.00  -2.27511  
0.00   3.30   1.50   0.00   0.00   0.00  -2.21295  
0.00   3.30   1.40   0.00   0.00   0.00  -2.10773  
0.00   3.30   1.30   0.00   0.00   0.00  -1.95647  
0.00   3.30   1.20   0.00   0.00   0.00  -1.75301  
0.00   3.30   1.10   0.00   0.00   0.00  -1.50060  
0.00   3.30   1.00   0.00   0.00   0.00  -1.20551  
0.00   3.30   0.90   0.00   0.00   0.00  -0.87197  
0.00   3.30   0.80   0.00   0.00   0.00  -0.50959  
0.00   3.30   0.70   0.00   0.00   0.00  -0.13228  
0.00   3.30   0.60   0.00   0.00   0.00   0.24731  
0.00   3.30   0.50   0.00   0.00   0.00   0.60549
0.00   4.00   0.50   0.00   0.00   0.00  -1.76002  
0.00   4.00   1.00   0.00   0.00   0.00  -1.89526  
0.00   4.00   1.50   0.00   0.00   0.00  -1.91678  
0.00   4.00   1.75   0.00   0.00   0.00  -1.865214  
0.00   4.00   2.00   0.00   0.00   0.00  -1.79421  
0.00   4.00   2.50   0.00   0.00   0.00  -1.61481  
0.00   4.00   3.00   0.00   0.00   0.00  -1.44049  
0.00   4.00   4.00   0.00   0.00   0.00  -1.08862  
0.00   4.00   6.00   0.00   0.00   0.00  -0.42016  
0.00   4.00   8.00   0.00   0.00   0.00  -0.114505  
0.00   4.00   10.0   0.00   0.00   0.00  -0.031016  
0.00   4.00   12.0   0.00   0.00   0.00  -0.009565  
0.00   4.00   14.0   0.00   0.00   0.00  -0.003221  
0.00   2.20   4.30   0.00   0.00   0.00   6.77935  
0.00   2.50   4.30   0.00   0.00   0.00   0.977651  
0.00   2.90   4.30   0.00   0.00   0.00  -1.36701  
0.00   3.30   4.30   0.00   0.00   0.00  -1.57451  
0.00   3.60   4.30   0.00   0.00   0.00  -1.34686  
0.00   4.00   4.30   0.00   0.00   0.00  -0.98140  
0.00   4.50   4.30   0.00   0.00   0.00  -0.62102  
0.00   5.00   4.30   0.00   0.00   0.00  -0.38725  
0.00   6.50   4.30   0.00   0.00   0.00  -0.10020  
0.00   8.00   4.30   0.00   0.00   0.00  -0.027031  
0.00   9.00   4.30   0.00   0.00   0.00  -0.010528  
0.00  11.00   4.30   0.00   0.00   0.00  -0.000274  
0.00  13.00   4.30   0.00   0.00   0.00   0.001438  
0.00  15.00   4.30   0.00   0.00   0.00   0.001404  
0.00   2.20   4.30   0.00   0.00   0.00   6.77935
0.00   2.50   4.30   0.00   0.00   0.00   0.977651
0.00   2.90   4.30   0.00   0.00   0.00  -1.36701
0.00   3.30   4.30   0.00   0.00   0.00  -1.57451
0.00   3.60   4.30   0.00   0.00   0.00  -1.34686
0.00   4.00   4.30   0.00   0.00   0.00  -0.98140
0.00   4.50   4.30   0.00   0.00   0.00  -0.62102
0.00   5.00   4.30   0.00   0.00   0.00  -0.38725
0.00   6.50   4.30   0.00   0.00   0.00  -0.10020
0.00   8.00   4.30   0.00   0.00   0.00  -0.027031
0.00   9.00   4.30   0.00   0.00   0.00  -0.010528
0.00  11.00   4.30   0.00   0.00   0.00  -0.000274
0.00  13.00   4.30   0.00   0.00   0.00   0.001438
0.00  15.00   4.30   0.00   0.00   0.00   0.001404  
1.50   3.60   0.00   0.00   0.00   0.00  -2.55474   
1.00   3.60   0.00   0.00   0.00   0.00  -2.25284   
0.50   3.60   0.00   0.00   0.00   0.00  -1.60536   
1.60   3.50   0.00   0.00   0.00   0.00  -2.59791  
2.00   3.50   0.00   0.00   0.00   0.00  -2.44552  
1.80   3.30   0.00   0.00   0.00   0.00  -2.26260  
1.80   4.00   0.00   0.00   0.00   0.00  -1.85742  
1.80   4.40   0.00   0.00   0.00   0.00  -1.19625       
0.00   4.50   0.00  90.00  90.00   0.00   0.34336 
0.00   5.00   0.00  90.00  90.00   0.00  -2.27956 
0.00   6.00   0.00  90.00  90.00   0.00  -1.13607 
0.00   7.00   0.00  90.00  90.00   0.00  -0.43272   
0.00   2.50   1.50   0.00   0.00   0.00  27.36437 
0.00   2.50   2.00   0.00   0.00   0.00  22.84824 
0.00   2.50   2.50   0.00   0.00   0.00  17.25382 
0.00   2.50   3.00   0.00   0.00   0.00  10.75282 
0.00   2.50   4.00   0.00   0.00   0.00   2.52774 
0.00   2.00   6.00   0.00   0.00   0.00  -0.69149 
0.00   2.00   8.00   0.00   0.00   0.00  -0.18938              
0.00   3.50   1.60   0.00   0.00   0.00  -2.59978 
0.00   3.50   1.80   0.00   0.00   0.00  -2.56270 
0.00   3.60   1.90   0.00   0.00   0.00  -2.46701 
0.00   3.60   2.50   0.00   0.00   0.00  -2.12883 
0.00   3.60   6.00   0.00   0.00   0.00  -0.25654 
0.00   2.80   2.50   0.00   0.00   0.00   3.67391 
0.00   3.90   2.00   0.00   0.00   0.00  -1.96933 
0.00   3.90   1.50   0.00   0.00   0.00  -2.10062 
0.00   3.90   1.00   0.00   0.00   0.00  -2.04671 
0.00   3.90   0.50   0.00   0.00   0.00  -1.84220              
0.00   5.00   0.00  30.00   0.0    0.000 -0.876482  
0.00   6.00   0.00  30.00   0.0    0.000 -0.254699  
0.00   7.00   0.00  30.00   0.0    0.000 -0.074716  
